,date,continent,location,male_smokers
294,2020Q2,Africa,Zambia,2247.7
295,2020Q2,Africa,Zimbabwe,2793.7
296,2020Q2,Asia,Afghanistan,0.0
297,2020Q2,Asia,Armenia,4741.1
298,2020Q2,Asia,Azerbaijan,3867.5
299,2020Q2,Asia,Bahrain,3421.6
300,2020Q2,Asia,Bangladesh,4067.7000000000003
301,2020Q2,Asia,Bhutan,0.0
302,2020Q2,Asia,Brunei,2811.9
303,2020Q2,Asia,Cambodia,3066.7000000000003
304,2020Q2,Asia,China,4404.4
305,2020Q2,Asia,Georgia,5050.5
306,2020Q2,Asia,Hong Kong,0.0
307,2020Q2,Asia,India,1874.6000000000001
308,2020Q2,Asia,Indonesia,6925.099999999999
309,2020Q2,Asia,Iran,1920.1000000000001
310,2020Q2,Asia,Iraq,0.0
311,2020Q2,Asia,Israel,3221.4
312,2020Q2,Asia,Japan,3066.7000000000003
313,2020Q2,Asia,Jordan,0.0
314,2020Q2,Asia,Kazakhstan,3922.1
315,2020Q2,Asia,Kuwait,3367.0
316,2020Q2,Asia,Kyrgyzstan,4595.5
317,2020Q2,Asia,Laos,4659.2
318,2020Q2,Asia,Lebanon,3703.7000000000003
319,2020Q2,Asia,Malaysia,3858.4
320,2020Q2,Asia,Maldives,5005.0
321,2020Q2,Asia,Mongolia,4231.5
322,2020Q2,Asia,Myanmar,3203.2000000000003
323,2020Q2,Asia,Nepal,3439.7999999999997
324,2020Q2,Asia,North Korea,0.0
325,2020Q2,Asia,Oman,1419.6
326,2020Q2,Asia,Pakistan,3339.7000000000003
327,2020Q2,Asia,Palestine,0.0
328,2020Q2,Asia,Philippines,3712.7999999999997
329,2020Q2,Asia,Qatar,2447.9
330,2020Q2,Asia,Saudi Arabia,2311.4
331,2020Q2,Asia,Singapore,2575.3
332,2020Q2,Asia,South Korea,3721.9
333,2020Q2,Asia,Sri Lanka,2457.0
334,2020Q2,Asia,Syria,0.0
335,2020Q2,Asia,Taiwan,0.0
336,2020Q2,Asia,Tajikistan,0.0
337,2020Q2,Asia,Thailand,3530.7999999999997
338,2020Q2,Asia,Timor,7107.099999999999
339,2020Q2,Asia,Turkey,3740.1
340,2020Q2,Asia,Turkmenistan,0.0
341,2020Q2,Asia,United Arab Emirates,3403.4
342,2020Q2,Asia,Uzbekistan,2247.7
343,2020Q2,Asia,Vietnam,4176.9
344,2020Q2,Asia,Yemen,2657.2
345,2020Q2,Europe,Albania,4659.2
346,2020Q2,Europe,Andorra,3439.7999999999997
347,2020Q2,Europe,Austria,2811.9
348,2020Q2,Europe,Belarus,4195.1
349,2020Q2,Europe,Belgium,2857.4
350,2020Q2,Europe,Bosnia and Herzegovina,4340.7
351,2020Q2,Europe,Bulgaria,4040.4
352,2020Q2,Europe,Croatia,3630.9
353,2020Q2,Europe,Cyprus,4795.7
354,2020Q2,Europe,Czechia,3485.2999999999997
355,2020Q2,Europe,Denmark,1710.8
356,2020Q2,Europe,England,0.0
357,2020Q2,Europe,Estonia,3576.2999999999997
358,2020Q2,Europe,Faeroe Islands,0.0
359,2020Q2,Europe,Finland,2056.6
360,2020Q2,Europe,France,3239.6
361,2020Q2,Europe,Germany,3012.1
362,2020Q2,Europe,Gibraltar,0.0
363,2020Q2,Europe,Greece,4732.0
364,2020Q2,Europe,Guernsey,0.0
365,2020Q2,Europe,Hungary,3166.7999999999997
366,2020Q2,Europe,Iceland,1383.2
367,2020Q2,Europe,Ireland,2338.7
368,2020Q2,Europe,Isle of Man,0.0
369,2020Q2,Europe,Italy,2529.8
370,2020Q2,Europe,Jersey,0.0
371,2020Q2,Europe,Kosovo,0.0
372,2020Q2,Europe,Latvia,4641.0
373,2020Q2,Europe,Liechtenstein,0.0
374,2020Q2,Europe,Lithuania,3458.0
375,2020Q2,Europe,Luxembourg,2366.0
376,2020Q2,Europe,Malta,2748.2
377,2020Q2,Europe,Moldova,4058.6
378,2020Q2,Europe,Monaco,0.0
379,2020Q2,Europe,Montenegro,4358.9
380,2020Q2,Europe,Netherlands,2484.3
381,2020Q2,Europe,North Macedonia,0.0
382,2020Q2,Europe,Northern Ireland,0.0
383,2020Q2,Europe,Norway,1883.7
384,2020Q2,Europe,Poland,3012.1
385,2020Q2,Europe,Portugal,2730.0
386,2020Q2,Europe,Romania,3376.1
387,2020Q2,Europe,Russia,5305.3
388,2020Q2,Europe,San Marino,0.0
389,2020Q2,Europe,Scotland,0.0
390,2020Q2,Europe,Serbia,3658.2000000000003
391,2020Q2,Europe,Slovakia,3430.7000000000003
392,2020Q2,Europe,Slovenia,2275.0
393,2020Q2,Europe,Spain,2857.4
394,2020Q2,Europe,Sweden,1719.8999999999999
395,2020Q2,Europe,Switzerland,2629.9
396,2020Q2,Europe,Ukraine,4313.4
397,2020Q2,Europe,United Kingdom,2247.7
398,2020Q2,Europe,Vatican,0.0
399,2020Q2,Europe,Wales,0.0
400,2020Q2,North America,Anguilla,0.0
401,2020Q2,North America,Antigua and Barbuda,0.0
402,2020Q2,North America,Aruba,0.0
403,2020Q2,North America,Bahamas,1856.3999999999999
404,2020Q2,North America,Barbados,1319.5
405,2020Q2,North America,Belize,0.0
406,2020Q2,North America,Bermuda,0.0
407,2020Q2,North America,Bonaire Sint Eustatius and Saba,0.0
408,2020Q2,North America,British Virgin Islands,0.0
409,2020Q2,North America,Canada,1510.6000000000001
410,2020Q2,North America,Cayman Islands,0.0
411,2020Q2,North America,Costa Rica,1583.3999999999999
412,2020Q2,North America,Cuba,4850.3
413,2020Q2,North America,Curacao,0.0
414,2020Q2,North America,Dominica,0.0
415,2020Q2,North America,Dominican Republic,1738.1000000000001
416,2020Q2,North America,El Salvador,1710.8
417,2020Q2,North America,Greenland,0.0
418,2020Q2,North America,Grenada,0.0
419,2020Q2,North America,Guadeloupe,0.0
420,2020Q2,North America,Guatemala,0.0
421,2020Q2,North America,Haiti,2102.1
422,2020Q2,North America,Honduras,0.0
423,2020Q2,North America,Jamaica,2602.6
424,2020Q2,North America,Martinique,0.0
425,2020Q2,North America,Mexico,1947.3999999999999
426,2020Q2,North America,Montserrat,0.0
427,2020Q2,North America,Nicaragua,0.0
428,2020Q2,North America,Panama,900.9
429,2020Q2,North America,Puerto Rico,0.0
430,2020Q2,North America,Saint Barthelemy,0.0
431,2020Q2,North America,Saint Kitts and Nevis,0.0
432,2020Q2,North America,Saint Lucia,0.0
433,2020Q2,North America,Saint Martin (French part),0.0
434,2020Q2,North America,Saint Pierre and Miquelon,0.0
435,2020Q2,North America,Saint Vincent and the Grenadines,0.0
436,2020Q2,North America,Sint Maarten (Dutch part),0.0
437,2020Q2,North America,Trinidad and Tobago,0.0
438,2020Q2,North America,Turks and Caicos Islands,0.0
439,2020Q2,North America,United States,2238.6
440,2020Q2,North America,United States Virgin Islands,0.0
441,2020Q2,Oceania,American Samoa,0.0
442,2020Q2,Oceania,Australia,1501.5
443,2020Q2,Oceania,Cook Islands,0.0
444,2020Q2,Oceania,Fiji,3166.7999999999997
445,2020Q2,Oceania,French Polynesia,0.0
446,2020Q2,Oceania,Guam,0.0
447,2020Q2,Oceania,Kiribati,5359.9
448,2020Q2,Oceania,Marshall Islands,0.0
449,2020Q2,Oceania,Micronesia (country),0.0
