,date,continent,location,life_expectancy
433,2020Q2,North America,Saint Martin (French part),7469.28
434,2020Q2,North America,Saint Pierre and Miquelon,7377.369999999999
435,2020Q2,North America,Saint Vincent and the Grenadines,6600.2300000000005
436,2020Q2,North America,Sint Maarten (Dutch part),7184.45
437,2020Q2,North America,Trinidad and Tobago,6689.410000000001
438,2020Q2,North America,Turks and Caicos Islands,7300.0199999999995
439,2020Q2,North America,United States,7176.26
440,2020Q2,North America,United States Virgin Islands,7332.78
441,2020Q2,Oceania,American Samoa,6710.339999999999
442,2020Q2,Oceania,Australia,7593.04
443,2020Q2,Oceania,Cook Islands,6938.75
444,2020Q2,Oceania,Fiji,6137.04
445,2020Q2,Oceania,French Polynesia,7067.0599999999995
446,2020Q2,Oceania,Guam,7286.369999999999
447,2020Q2,Oceania,Kiribati,6221.67
448,2020Q2,Oceania,Marshall Islands,6706.7
449,2020Q2,Oceania,Micronesia (country),6177.08
450,2020Q2,Oceania,Nauru,5456.36
451,2020Q2,Oceania,New Caledonia,7057.05
452,2020Q2,Oceania,New Zealand,7488.39
453,2020Q2,Oceania,Niue,6707.61
454,2020Q2,Oceania,Northern Mariana Islands,6983.339999999999
455,2020Q2,Oceania,Palau,6706.7
456,2020Q2,Oceania,Papua New Guinea,5869.5
457,2020Q2,Oceania,Pitcairn,0.0
458,2020Q2,Oceania,Samoa,6672.119999999999
459,2020Q2,Oceania,Solomon Islands,6643.0
460,2020Q2,Oceania,Tokelau,7449.26
461,2020Q2,Oceania,Tonga,6452.8099999999995
462,2020Q2,Oceania,Tuvalu,6148.869999999999
463,2020Q2,Oceania,Vanuatu,6412.7699999999995
464,2020Q2,Oceania,Wallis and Futuna,7274.54
465,2020Q2,South America,Argentina,6976.97
466,2020Q2,South America,Bolivia,6507.410000000001
467,2020Q2,South America,Brazil,6905.08
468,2020Q2,South America,Chile,7296.380000000001
469,2020Q2,South America,Colombia,7033.39
470,2020Q2,South America,Ecuador,7007.910000000001
471,2020Q2,South America,Falkland Islands,7411.04
472,2020Q2,South America,French Guiana,7275.45
473,2020Q2,South America,Guyana,6361.8099999999995
474,2020Q2,South America,Paraguay,6756.75
475,2020Q2,South America,Peru,6983.339999999999
476,2020Q2,South America,Suriname,6522.880000000001
477,2020Q2,South America,Uruguay,7089.8099999999995
478,2020Q2,South America,Venezuela,6557.46
479,2020Q3,Africa,Algeria,7072.959999999999
480,2020Q3,Africa,Angola,5625.8
481,2020Q3,Africa,Benin,5682.84
482,2020Q3,Africa,Botswana,6402.280000000001
483,2020Q3,Africa,Burkina Faso,5665.36
484,2020Q3,Africa,Burundi,5665.36
485,2020Q3,Africa,Cameroon,5454.68
486,2020Q3,Africa,Cape Verde,6714.160000000001
487,2020Q3,Africa,Central African Republic,4901.76
488,2020Q3,Africa,Chad,4990.08
489,2020Q3,Africa,Comoros,5917.44
490,2020Q3,Africa,Congo,5940.44
491,2020Q3,Africa,Cote d'Ivoire,5315.76
492,2020Q3,Africa,Democratic Republic of Congo,5582.56
493,2020Q3,Africa,Djibouti,6174.12
494,2020Q3,Africa,Egypt,6623.08
495,2020Q3,Africa,Equatorial Guinea,5404.08
496,2020Q3,Africa,Eritrea,6101.44
497,2020Q3,Africa,Eswatini,5537.48
498,2020Q3,Africa,Ethiopia,6127.2
499,2020Q3,Africa,Gabon,6115.24
500,2020Q3,Africa,Gambia,5708.599999999999
501,2020Q3,Africa,Ghana,5894.44
502,2020Q3,Africa,Guinea,5667.2
503,2020Q3,Africa,Guinea-Bissau,5365.44
504,2020Q3,Africa,Kenya,6136.400000000001
505,2020Q3,Africa,Lesotho,4998.36
506,2020Q3,Africa,Liberia,5897.2
507,2020Q3,Africa,Libya,6707.719999999999
508,2020Q3,Africa,Madagascar,6167.68
509,2020Q3,Africa,Malawi,5911.92
510,2020Q3,Africa,Mali,5456.52
511,2020Q3,Africa,Mauritania,5972.64
512,2020Q3,Africa,Mauritius,6899.08
513,2020Q3,Africa,Mayotte,7310.32
514,2020Q3,Africa,Morocco,7054.56
515,2020Q3,Africa,Mozambique,5598.2
516,2020Q3,Africa,Namibia,5861.32
517,2020Q3,Africa,Niger,5742.64
518,2020Q3,Africa,Nigeria,5031.48
519,2020Q3,Africa,Reunion,7404.160000000001
520,2020Q3,Africa,Rwanda,6349.839999999999
521,2020Q3,Africa,Saint Helena,7411.52
522,2020Q3,Africa,Sao Tome and Principe,6475.88
523,2020Q3,Africa,Senegal,6250.48
524,2020Q3,Africa,Seychelles,6752.8
525,2020Q3,Africa,Sierra Leone,5032.400000000001
526,2020Q3,Africa,Somalia,5280.8
527,2020Q3,Africa,South Africa,5899.959999999999
528,2020Q3,Africa,South Sudan,5322.2
529,2020Q3,Africa,Sudan,6008.52
530,2020Q3,Africa,Tanzania,6022.32
531,2020Q3,Africa,Togo,5615.68
532,2020Q3,Africa,Tunisia,7056.400000000001
533,2020Q3,Africa,Uganda,5830.04
534,2020Q3,Africa,Zambia,5877.88
535,2020Q3,Africa,Zimbabwe,5657.08
536,2020Q3,Asia,Afghanistan,5964.36
537,2020Q3,Asia,Armenia,6908.280000000001
538,2020Q3,Asia,Azerbaijan,6716.0
539,2020Q3,Asia,Bahrain,7110.68
540,2020Q3,Asia,Bangladesh,6678.280000000001
541,2020Q3,Asia,Bhutan,6603.76
542,2020Q3,Asia,Brunei,6979.12
543,2020Q3,Asia,Cambodia,6423.44
544,2020Q3,Asia,China,7075.719999999999
545,2020Q3,Asia,Georgia,6786.839999999999
546,2020Q3,Asia,Hong Kong,7807.12
547,2020Q3,Asia,India,6408.719999999999
548,2020Q3,Asia,Indonesia,6598.24
549,2020Q3,Asia,Iran,7054.56
550,2020Q3,Asia,Iraq,6495.2
551,2020Q3,Asia,Israel,7633.24
552,2020Q3,Asia,Japan,7785.959999999999
553,2020Q3,Asia,Jordan,6856.76
554,2020Q3,Asia,Kazakhstan,6771.2
555,2020Q3,Asia,Kuwait,6945.08
556,2020Q3,Asia,Kyrgyzstan,6573.400000000001
557,2020Q3,Asia,Laos,6248.64
558,2020Q3,Asia,Lebanon,7261.56
559,2020Q3,Asia,Malaysia,7006.719999999999
560,2020Q3,Asia,Maldives,7260.64
561,2020Q3,Asia,Mongolia,6428.040000000001
562,2020Q3,Asia,Myanmar,6175.959999999999
563,2020Q3,Asia,Nepal,6511.76
564,2020Q3,Asia,North Korea,6648.839999999999
565,2020Q3,Asia,Oman,7163.12
566,2020Q3,Asia,Pakistan,6188.839999999999
567,2020Q3,Asia,Palestine,6812.599999999999
568,2020Q3,Asia,Philippines,6553.160000000001
569,2020Q3,Asia,Qatar,7381.160000000001
570,2020Q3,Asia,Saudi Arabia,6911.959999999999
571,2020Q3,Asia,Singapore,7693.040000000001
572,2020Q3,Asia,South Korea,7638.76
