,date,continent,location,female_smokers
575,2020Q3,Asia,Taiwan,0.0
576,2020Q3,Asia,Tajikistan,0.0
577,2020Q3,Asia,Thailand,174.79999999999998
578,2020Q3,Asia,Timor,579.6
579,2020Q3,Asia,Turkey,1297.2
580,2020Q3,Asia,Turkmenistan,0.0
581,2020Q3,Asia,United Arab Emirates,110.39999999999999
582,2020Q3,Asia,Uzbekistan,119.60000000000001
583,2020Q3,Asia,Vietnam,92.0
584,2020Q3,Asia,Yemen,699.1999999999999
585,2020Q3,Europe,Albania,653.1999999999999
586,2020Q3,Europe,Andorra,2668.0
587,2020Q3,Europe,Austria,2612.7999999999997
588,2020Q3,Europe,Belarus,966.0
589,2020Q3,Europe,Belgium,2309.2000000000003
590,2020Q3,Europe,Bosnia and Herzegovina,2778.4
591,2020Q3,Europe,Bulgaria,2769.2000000000003
592,2020Q3,Europe,Croatia,3155.6
593,2020Q3,Europe,Cyprus,1803.2
594,2020Q3,Europe,Czechia,2806.0
595,2020Q3,Europe,Denmark,1775.6000000000001
596,2020Q3,Europe,England,0.0
597,2020Q3,Europe,Estonia,2254.0
598,2020Q3,Europe,Faeroe Islands,0.0
599,2020Q3,Europe,Finland,1683.6000000000001
600,2020Q3,Europe,France,2769.2000000000003
601,2020Q3,Europe,Germany,2594.4
602,2020Q3,Europe,Gibraltar,0.0
603,2020Q3,Europe,Greece,3247.6
604,2020Q3,Europe,Guernsey,0.0
605,2020Q3,Europe,Hungary,2465.6
606,2020Q3,Europe,Iceland,1315.6000000000001
607,2020Q3,Europe,Ireland,2116.0
608,2020Q3,Europe,Isle of Man,0.0
609,2020Q3,Europe,Italy,1821.6000000000001
610,2020Q3,Europe,Jersey,0.0
611,2020Q3,Europe,Kosovo,0.0
