,date,continent,location,human_development_index
419,2020Q2,North America,Guadeloupe,0.0
420,2020Q2,North America,Guatemala,60.333000000000006
421,2020Q2,North America,Haiti,46.410000000000004
422,2020Q2,North America,Honduras,57.694
423,2020Q2,North America,Jamaica,66.794
424,2020Q2,North America,Martinique,0.0
425,2020Q2,North America,Mexico,70.889
426,2020Q2,North America,Montserrat,0.0
427,2020Q2,North America,Nicaragua,60.06
428,2020Q2,North America,Panama,74.16499999999999
429,2020Q2,North America,Puerto Rico,0.0
430,2020Q2,North America,Saint Barthelemy,0.0
431,2020Q2,North America,Saint Kitts and Nevis,70.889
432,2020Q2,North America,Saint Lucia,69.069
433,2020Q2,North America,Saint Martin (French part),0.0
434,2020Q2,North America,Saint Pierre and Miquelon,0.0
435,2020Q2,North America,Saint Vincent and the Grenadines,67.158
436,2020Q2,North America,Sint Maarten (Dutch part),0.0
437,2020Q2,North America,Trinidad and Tobago,72.436
438,2020Q2,North America,Turks and Caicos Islands,0.0
439,2020Q2,North America,United States,84.266
440,2020Q2,North America,United States Virgin Islands,0.0
441,2020Q2,Oceania,American Samoa,0.0
442,2020Q2,Oceania,Australia,85.904
443,2020Q2,Oceania,Cook Islands,0.0
444,2020Q2,Oceania,Fiji,67.613
445,2020Q2,Oceania,French Polynesia,0.0
446,2020Q2,Oceania,Guam,0.0
447,2020Q2,Oceania,Kiribati,57.33
448,2020Q2,Oceania,Marshall Islands,64.064
449,2020Q2,Oceania,Micronesia (country),56.42
450,2020Q2,Oceania,Nauru,0.0
451,2020Q2,Oceania,New Caledonia,0.0
452,2020Q2,Oceania,New Zealand,84.721
453,2020Q2,Oceania,Niue,0.0
454,2020Q2,Oceania,Northern Mariana Islands,0.0
455,2020Q2,Oceania,Palau,75.166
456,2020Q2,Oceania,Papua New Guinea,50.505
457,2020Q2,Oceania,Pitcairn,0.0
458,2020Q2,Oceania,Samoa,65.065
459,2020Q2,Oceania,Solomon Islands,51.596999999999994
460,2020Q2,Oceania,Tokelau,0.0
461,2020Q2,Oceania,Tonga,65.975
462,2020Q2,Oceania,Tuvalu,0.0
463,2020Q2,Oceania,Vanuatu,55.419
464,2020Q2,Oceania,Wallis and Futuna,0.0
465,2020Q2,South America,Argentina,76.895
466,2020Q2,South America,Bolivia,65.338
467,2020Q2,South America,Brazil,69.615
468,2020Q2,South America,Chile,77.441
469,2020Q2,South America,Colombia,69.797
470,2020Q2,South America,Ecuador,69.069
471,2020Q2,South America,Falkland Islands,0.0
472,2020Q2,South America,French Guiana,0.0
473,2020Q2,South America,Guyana,62.062000000000005
474,2020Q2,South America,Paraguay,66.248
475,2020Q2,South America,Peru,70.70700000000001
476,2020Q2,South America,Suriname,67.158
477,2020Q2,South America,Uruguay,74.347
478,2020Q2,South America,Venezuela,64.701
479,2020Q3,Africa,Algeria,68.816
480,2020Q3,Africa,Angola,53.452
481,2020Q3,Africa,Benin,50.14
482,2020Q3,Africa,Botswana,67.62
483,2020Q3,Africa,Burkina Faso,41.584
484,2020Q3,Africa,Burundi,39.836
485,2020Q3,Africa,Cameroon,51.79599999999999
486,2020Q3,Africa,Cape Verde,61.18000000000001
487,2020Q3,Africa,Central African Republic,36.524
488,2020Q3,Africa,Chad,36.616
489,2020Q3,Africa,Comoros,50.968
490,2020Q3,Africa,Congo,52.80799999999999
491,2020Q3,Africa,Cote d'Ivoire,49.496
492,2020Q3,Africa,Democratic Republic of Congo,44.16
493,2020Q3,Africa,Djibouti,48.208
494,2020Q3,Africa,Egypt,65.044
495,2020Q3,Africa,Equatorial Guinea,54.464
496,2020Q3,Africa,Eritrea,42.228
497,2020Q3,Africa,Eswatini,56.211999999999996
498,2020Q3,Africa,Ethiopia,44.62
499,2020Q3,Africa,Gabon,64.676
500,2020Q3,Africa,Gambia,45.632
501,2020Q3,Africa,Ghana,56.211999999999996
502,2020Q3,Africa,Guinea,43.884
503,2020Q3,Africa,Guinea-Bissau,44.16
504,2020Q3,Africa,Kenya,55.292
505,2020Q3,Africa,Lesotho,48.484
506,2020Q3,Africa,Liberia,44.16
507,2020Q3,Africa,Libya,66.608
508,2020Q3,Africa,Madagascar,48.576
509,2020Q3,Africa,Malawi,44.436
510,2020Q3,Africa,Mali,39.928
511,2020Q3,Africa,Mauritania,50.232000000000006
512,2020Q3,Africa,Mauritius,73.968
513,2020Q3,Africa,Mayotte,0.0
514,2020Q3,Africa,Morocco,63.112
515,2020Q3,Africa,Mozambique,41.952
516,2020Q3,Africa,Namibia,59.432
517,2020Q3,Africa,Niger,36.248000000000005
518,2020Q3,Africa,Nigeria,49.588
519,2020Q3,Africa,Reunion,0.0
520,2020Q3,Africa,Rwanda,49.956
521,2020Q3,Africa,Saint Helena,0.0
522,2020Q3,Africa,Sao Tome and Principe,57.5
523,2020Q3,Africa,Senegal,47.104
524,2020Q3,Africa,Seychelles,73.232
525,2020Q3,Africa,Sierra Leone,41.584
526,2020Q3,Africa,Somalia,0.0
527,2020Q3,Africa,South Africa,65.228
528,2020Q3,Africa,South Sudan,39.836
529,2020Q3,Africa,Sudan,46.92
530,2020Q3,Africa,Tanzania,48.668
531,2020Q3,Africa,Togo,47.38
532,2020Q3,Africa,Tunisia,68.08
533,2020Q3,Africa,Uganda,50.048
534,2020Q3,Africa,Zambia,53.727999999999994
535,2020Q3,Africa,Zimbabwe,52.532
536,2020Q3,Asia,Afghanistan,47.012
537,2020Q3,Asia,Armenia,71.392
538,2020Q3,Asia,Azerbaijan,69.552
539,2020Q3,Asia,Bahrain,78.384
540,2020Q3,Asia,Bangladesh,58.144
541,2020Q3,Asia,Bhutan,60.168
542,2020Q3,Asia,Brunei,77.096
543,2020Q3,Asia,Cambodia,54.647999999999996
544,2020Q3,Asia,China,70.012
545,2020Q3,Asia,Georgia,74.70400000000001
546,2020Q3,Asia,Hong Kong,87.30799999999999
547,2020Q3,Asia,India,59.34
548,2020Q3,Asia,Indonesia,66.056
549,2020Q3,Asia,Iran,72.036
550,2020Q3,Asia,Iraq,62.008
551,2020Q3,Asia,Israel,84.548
552,2020Q3,Asia,Japan,84.548
553,2020Q3,Asia,Jordan,67.068
554,2020Q3,Asia,Kazakhstan,75.89999999999999
555,2020Q3,Asia,Kuwait,74.152
556,2020Q3,Asia,Kyrgyzstan,64.124
557,2020Q3,Asia,Laos,56.396
558,2020Q3,Asia,Lebanon,68.448
559,2020Q3,Asia,Malaysia,74.52000000000001
560,2020Q3,Asia,Maldives,68.08
561,2020Q3,Asia,Mongolia,67.804
562,2020Q3,Asia,Myanmar,53.635999999999996
563,2020Q3,Asia,Nepal,55.384
564,2020Q3,Asia,North Korea,0.0
565,2020Q3,Asia,Oman,74.79599999999999
566,2020Q3,Asia,Pakistan,51.24400000000001
567,2020Q3,Asia,Palestine,65.136
568,2020Q3,Asia,Philippines,66.056
569,2020Q3,Asia,Qatar,78.01599999999999
570,2020Q3,Asia,Saudi Arabia,78.568
571,2020Q3,Asia,Singapore,86.29599999999999
572,2020Q3,Asia,South Korea,84.272
573,2020Q3,Asia,Sri Lanka,71.944
574,2020Q3,Asia,Syria,52.163999999999994
575,2020Q3,Asia,Taiwan,0.0
576,2020Q3,Asia,Tajikistan,61.456
577,2020Q3,Asia,Thailand,71.48400000000001
578,2020Q3,Asia,Timor,55.751999999999995
579,2020Q3,Asia,Turkey,75.44
580,2020Q3,Asia,Turkmenistan,65.78
581,2020Q3,Asia,United Arab Emirates,81.88
582,2020Q3,Asia,Uzbekistan,66.24
583,2020Q3,Asia,Vietnam,64.768
584,2020Q3,Asia,Yemen,43.239999999999995
585,2020Q3,Europe,Albania,73.14
586,2020Q3,Europe,Andorra,79.856
587,2020Q3,Europe,Austria,84.824
588,2020Q3,Europe,Belarus,75.716
589,2020Q3,Europe,Belgium,85.652
590,2020Q3,Europe,Bosnia and Herzegovina,71.76
591,2020Q3,Europe,Bulgaria,75.07199999999999
592,2020Q3,Europe,Croatia,78.292
593,2020Q3,Europe,Cyprus,81.604
594,2020Q3,Europe,Czechia,82.8
595,2020Q3,Europe,Denmark,86.47999999999999
596,2020Q3,Europe,England,0.0
597,2020Q3,Europe,Estonia,82.06400000000001
598,2020Q3,Europe,Faeroe Islands,0.0
599,2020Q3,Europe,Finland,86.29599999999999
600,2020Q3,Europe,France,82.892
601,2020Q3,Europe,Germany,87.124
602,2020Q3,Europe,Gibraltar,0.0
603,2020Q3,Europe,Greece,81.696
604,2020Q3,Europe,Guernsey,0.0
605,2020Q3,Europe,Hungary,78.568
606,2020Q3,Europe,Iceland,87.30799999999999
607,2020Q3,Europe,Ireland,87.86
608,2020Q3,Europe,Isle of Man,0.0
609,2020Q3,Europe,Italy,82.06400000000001
610,2020Q3,Europe,Jersey,0.0
611,2020Q3,Europe,Kosovo,0.0
612,2020Q3,Europe,Latvia,79.672
