,date,continent,location,diabetes_prevalence
407,2020Q2,North America,Bonaire Sint Eustatius and Saba,0.0
408,2020Q2,North America,British Virgin Islands,1243.97
409,2020Q2,North America,Canada,670.67
410,2020Q2,North America,Cayman Islands,1203.02
411,2020Q2,North America,Costa Rica,798.9799999999999
412,2020Q2,North America,Cuba,752.5699999999999
413,2020Q2,North America,Curacao,1057.4199999999998
414,2020Q2,North America,Dominica,1057.4199999999998
415,2020Q2,North America,Dominican Republic,746.1999999999999
416,2020Q2,North America,El Salvador,807.17
417,2020Q2,North America,Greenland,196.56
418,2020Q2,North America,Grenada,974.6100000000001
419,2020Q2,North America,Guadeloupe,0.0
420,2020Q2,North America,Guatemala,926.38
421,2020Q2,North America,Haiti,605.15
422,2020Q2,North America,Honduras,656.11
423,2020Q2,North America,Jamaica,1026.48
424,2020Q2,North America,Martinique,0.0
425,2020Q2,North America,Mexico,1188.46
426,2020Q2,North America,Montserrat,0.0
427,2020Q2,North America,Nicaragua,1043.77
428,2020Q2,North America,Panama,758.03
429,2020Q2,North America,Puerto Rico,1173.9
430,2020Q2,North America,Saint Barthelemy,0.0
431,2020Q2,North America,Saint Kitts and Nevis,1168.44
432,2020Q2,North America,Saint Lucia,1057.4199999999998
433,2020Q2,North America,Saint Martin (French part),0.0
434,2020Q2,North America,Saint Pierre and Miquelon,0.0
435,2020Q2,North America,Saint Vincent and the Grenadines,1057.4199999999998
436,2020Q2,North America,Sint Maarten (Dutch part),0.0
437,2020Q2,North America,Trinidad and Tobago,998.2700000000001
438,2020Q2,North America,Turks and Caicos Islands,0.0
439,2020Q2,North America,United States,981.8899999999999
440,2020Q2,North America,United States Virgin Islands,1115.66
441,2020Q2,Oceania,American Samoa,0.0
442,2020Q2,Oceania,Australia,461.37
443,2020Q2,Oceania,Cook Islands,0.0
444,2020Q2,Oceania,Fiji,1318.59
445,2020Q2,Oceania,French Polynesia,2059.33
446,2020Q2,Oceania,Guam,1958.32
447,2020Q2,Oceania,Kiribati,2062.06
448,2020Q2,Oceania,Marshall Islands,2778.23
449,2020Q2,Oceania,Micronesia (country),1093.82
450,2020Q2,Oceania,Nauru,2190.37
