,date,continent,location,population_density
418,2020Q2,North America,Grenada,28859.012
419,2020Q2,North America,Guadeloupe,0.0
420,2020Q2,North America,Guatemala,14362.894
421,2020Q2,North America,Haiti,36258.768
422,2020Q2,North America,Honduras,7535.255000000001
423,2020Q2,North America,Jamaica,24285.989
424,2020Q2,North America,Martinique,0.0
425,2020Q2,North America,Mexico,6046.404
426,2020Q2,North America,Montserrat,0.0
427,2020Q2,North America,Nicaragua,4701.697
428,2020Q2,North America,Panama,5017.103
429,2020Q2,North America,Puerto Rico,34237.112
430,2020Q2,North America,Saint Barthelemy,0.0
431,2020Q2,North America,Saint Kitts and Nevis,19370.715
432,2020Q2,North America,Saint Lucia,26680.017
433,2020Q2,North America,Saint Martin (French part),53738.503000000004
434,2020Q2,North America,Saint Pierre and Miquelon,0.0
435,2020Q2,North America,Saint Vincent and the Grenadines,25642.617
436,2020Q2,North America,Sint Maarten (Dutch part),110027.008
437,2020Q2,North America,Trinidad and Tobago,24286.626000000004
438,2020Q2,North America,Turks and Caicos Islands,3395.392
439,2020Q2,North America,United States,3240.3279999999995
440,2020Q2,North America,United States Virgin Islands,27889.68
441,2020Q2,Oceania,American Samoa,25316.655
442,2020Q2,Oceania,Australia,291.382
443,2020Q2,Oceania,Cook Islands,0.0
444,2020Q2,Oceania,Fiji,4510.142
445,2020Q2,Oceania,French Polynesia,7036.4839999999995
446,2020Q2,Oceania,Guam,27675.647999999997
447,2020Q2,Oceania,Kiribati,13076.791
448,2020Q2,Oceania,Marshall Islands,26858.649999999998
449,2020Q2,Oceania,Micronesia (country),13720.706999999999
450,2020Q2,Oceania,Nauru,62102.950000000004
451,2020Q2,Oceania,New Caledonia,1396.122
452,2020Q2,Oceania,New Zealand,1656.7459999999999
453,2020Q2,Oceania,Niue,0.0
454,2020Q2,Oceania,Northern Mariana Islands,10908.898
455,2020Q2,Oceania,Palau,4298.567
456,2020Q2,Oceania,Papua New Guinea,1658.02
457,2020Q2,Oceania,Pitcairn,0.0
458,2020Q2,Oceania,Samoa,6316.583
459,2020Q2,Oceania,Solomon Islands,1987.5310000000002
460,2020Q2,Oceania,Tokelau,0.0
461,2020Q2,Oceania,Tonga,13652.547999999999
462,2020Q2,Oceania,Tuvalu,33949.097
463,2020Q2,Oceania,Vanuatu,2062.2419999999997
464,2020Q2,Oceania,Wallis and Futuna,0.0
465,2020Q2,South America,Argentina,1472.107
466,2020Q2,South America,Bolivia,928.382
467,2020Q2,South America,Brazil,2278.64
468,2020Q2,South America,Chile,2209.662
469,2020Q2,South America,Colombia,4024.293
470,2020Q2,South America,Ecuador,6091.449
471,2020Q2,South America,Falkland Islands,0.0
472,2020Q2,South America,French Guiana,0.0
473,2020Q2,South America,Guyana,359.632
474,2020Q2,South America,Paraguay,1560.1039999999998
475,2020Q2,South America,Peru,2286.739
476,2020Q2,South America,Suriname,328.692
477,2020Q2,South America,Uruguay,1797.3410000000001
478,2020Q2,South America,Venezuela,3299.023
479,2020Q3,Africa,Algeria,1596.0159999999998
480,2020Q3,Africa,Angola,2197.88
481,2020Q3,Africa,Benin,9118.12
482,2020Q3,Africa,Botswana,372.04799999999994
483,2020Q3,Africa,Burkina Faso,6453.892
484,2020Q3,Africa,Burundi,38921.704
485,2020Q3,Africa,Cameroon,4681.42
486,2020Q3,Africa,Cape Verde,12473.36
487,2020Q3,Africa,Central African Republic,688.068
488,2020Q3,Africa,Chad,1088.636
489,2020Q3,Africa,Comoros,40236.384
490,2020Q3,Africa,Congo,1417.26
491,2020Q3,Africa,Cote d'Ivoire,7028.7080000000005
492,2020Q3,Africa,Democratic Republic of Congo,3300.868
493,2020Q3,Africa,Djibouti,3798.22
494,2020Q3,Africa,Egypt,9015.908
495,2020Q3,Africa,Equatorial Guinea,4157.848
496,2020Q3,Africa,Eritrea,4075.9680000000003
497,2020Q3,Africa,Eswatini,7313.264
498,2020Q3,Africa,Ethiopia,9656.044
499,2020Q3,Africa,Gabon,723.028
500,2020Q3,Africa,Gambia,19096.072
501,2020Q3,Africa,Ghana,11658.148
502,2020Q3,Africa,Guinea,4761.46
503,2020Q3,Africa,Guinea-Bissau,6089.572
504,2020Q3,Africa,Kenya,8033.808
505,2020Q3,Africa,Lesotho,6767.704
506,2020Q3,Africa,Liberia,4519.684
507,2020Q3,Africa,Libya,333.31600000000003
508,2020Q3,Africa,Madagascar,4043.492
509,2020Q3,Africa,Malawi,18171.748
510,2020Q3,Africa,Mali,1398.032
511,2020Q3,Africa,Mauritania,394.58799999999997
512,2020Q3,Africa,Mauritius,57312.504
513,2020Q3,Africa,Mayotte,0.0
514,2020Q3,Africa,Morocco,7367.36
515,2020Q3,Africa,Mozambique,3470.976
516,2020Q3,Africa,Namibia,283.176
517,2020Q3,Africa,Niger,1559.86
518,2020Q3,Africa,Nigeria,19282.095999999998
519,2020Q3,Africa,Reunion,0.0
520,2020Q3,Africa,Rwanda,45527.948000000004
521,2020Q3,Africa,Saint Helena,0.0
522,2020Q3,Africa,Sao Tome and Principe,19581.372
523,2020Q3,Africa,Senegal,7574.176
524,2020Q3,Africa,Seychelles,19168.568000000003
525,2020Q3,Africa,Sierra Leone,9632.4
526,2020Q3,Africa,Somalia,2162.0
527,2020Q3,Africa,South Africa,4301.3679999999995
528,2020Q3,Africa,South Sudan,0.0
529,2020Q3,Africa,Sudan,2139.736
530,2020Q3,Africa,Tanzania,5952.308
531,2020Q3,Africa,Togo,13189.672
532,2020Q3,Africa,Tunisia,6828.976
533,2020Q3,Africa,Uganda,19665.827999999998
534,2020Q3,Africa,Zambia,2115.54
535,2020Q3,Africa,Zimbabwe,3931.0679999999998
536,2020Q3,Asia,Afghanistan,5006.824
537,2020Q3,Asia,Armenia,9469.652
538,2020Q3,Asia,Azerbaijan,10976.428
539,2020Q3,Asia,Bahrain,178103.444
540,2020Q3,Asia,Bangladesh,116383.312
541,2020Q3,Asia,Bhutan,1949.2959999999998
542,2020Q3,Asia,Brunei,7483.923999999999
543,2020Q3,Asia,Cambodia,8341.824
544,2020Q3,Asia,China,13586.008
545,2020Q3,Asia,Georgia,5982.9439999999995
546,2020Q3,Asia,Hong Kong,647653.688
547,2020Q3,Asia,India,41438.547999999995
548,2020Q3,Asia,Indonesia,13406.699999999999
549,2020Q3,Asia,Iran,4584.452
550,2020Q3,Asia,Iraq,8107.5
551,2020Q3,Asia,Israel,37039.752
552,2020Q3,Asia,Japan,31995.576
553,2020Q3,Asia,Jordan,10054.22
554,2020Q3,Asia,Kazakhstan,614.652
555,2020Q3,Asia,Kuwait,21355.775999999998
556,2020Q3,Asia,Kyrgyzstan,2974.636
557,2020Q3,Asia,Laos,2733.78
558,2020Q3,Asia,Lebanon,54699.612
559,2020Q3,Asia,Malaysia,8855.368
560,2020Q3,Asia,Maldives,133807.836
561,2020Q3,Asia,Mongolia,182.16
562,2020Q3,Asia,Myanmar,7518.332
563,2020Q3,Asia,Nepal,18807.56
564,2020Q3,Asia,North Korea,19476.492
565,2020Q3,Asia,Oman,1378.16
566,2020Q3,Asia,Pakistan,23512.716
567,2020Q3,Asia,Palestine,71594.584
568,2020Q3,Asia,Philippines,32372.316
569,2020Q3,Asia,Qatar,20913.624
570,2020Q3,Asia,Saudi Arabia,1409.624
571,2020Q3,Asia,Singapore,728247.252
572,2020Q3,Asia,South Korea,48572.964
573,2020Q3,Asia,Sri Lanka,31459.859999999997
574,2020Q3,Asia,Syria,0.0
575,2020Q3,Asia,Taiwan,0.0
576,2020Q3,Asia,Tajikistan,5913.852000000001
577,2020Q3,Asia,Thailand,12432.144
578,2020Q3,Asia,Timor,8020.192
579,2020Q3,Asia,Turkey,9652.088
580,2020Q3,Asia,Turkmenistan,1127.276
581,2020Q3,Asia,United Arab Emirates,10344.663999999999
582,2020Q3,Asia,Uzbekistan,7004.328
583,2020Q3,Asia,Vietnam,28347.684
584,2020Q3,Asia,Yemen,4922.736
585,2020Q3,Europe,Albania,9648.132
586,2020Q3,Europe,Andorra,15065.46
587,2020Q3,Europe,Austria,9820.908
588,2020Q3,Europe,Belarus,4310.936
589,2020Q3,Europe,Belgium,34551.888
590,2020Q3,Europe,Bosnia and Herzegovina,6301.632
591,2020Q3,Europe,Bulgaria,5996.56
592,2020Q3,Europe,Croatia,6782.7919999999995
