,date,continent,location,gdp_per_capita
416,2020Q2,North America,El Salvador,663613.678
417,2020Q2,North America,Greenland,0.0
418,2020Q2,North America,Grenada,1237042.807
419,2020Q2,North America,Guadeloupe,0.0
420,2020Q2,North America,Guatemala,675566.528
421,2020Q2,North America,Haiti,150438.743
422,2020Q2,North America,Honduras,413303.34500000003
423,2020Q2,North America,Jamaica,745614.961
424,2020Q2,North America,Martinique,0.0
425,2020Q2,North America,Mexico,1577618.679
426,2020Q2,North America,Montserrat,0.0
427,2020Q2,North America,Nicaragua,484251.40400000004
428,2020Q2,North America,Panama,2026300.367
429,2020Q2,North America,Puerto Rico,3189064.9699999997
430,2020Q2,North America,Saint Barthelemy,0.0
431,2020Q2,North America,Saint Kitts and Nevis,2243549.0349999997
432,2020Q2,North America,Saint Lucia,1178617.349
433,2020Q2,North America,Saint Martin (French part),0.0
434,2020Q2,North America,Saint Pierre and Miquelon,0.0
435,2020Q2,North America,Saint Vincent and the Grenadines,976170.2860000001
436,2020Q2,North America,Sint Maarten (Dutch part),3305778.112
437,2020Q2,North America,Trinidad and Tobago,2617439.461
438,2020Q2,North America,Turks and Caicos Islands,0.0
439,2020Q2,North America,United States,4934515.586
440,2020Q2,North America,United States Virgin Islands,0.0
441,2020Q2,Oceania,American Samoa,0.0
442,2020Q2,Oceania,Australia,4063032.61
443,2020Q2,Oceania,Cook Islands,0.0
444,2020Q2,Oceania,Fiji,791970.725
445,2020Q2,Oceania,French Polynesia,0.0
446,2020Q2,Oceania,Guam,0.0
447,2020Q2,Oceania,Kiribati,180283.01200000002
448,2020Q2,Oceania,Marshall Islands,347547.38200000004
449,2020Q2,Oceania,Micronesia (country),300251.224
450,2020Q2,Oceania,Nauru,1173502.785
451,2020Q2,Oceania,New Caledonia,0.0
452,2020Q2,Oceania,New Zealand,3283811.713
453,2020Q2,Oceania,Niue,0.0
454,2020Q2,Oceania,Northern Mariana Islands,0.0
455,2020Q2,Oceania,Palau,1204876.855
456,2020Q2,Oceania,Papua New Guinea,347910.654
457,2020Q2,Oceania,Pitcairn,0.0
458,2020Q2,Oceania,Samoa,547961.687
459,2020Q2,Oceania,Solomon Islands,200738.993
460,2020Q2,Oceania,Tokelau,0.0
461,2020Q2,Oceania,Tonga,493731.511
462,2020Q2,Oceania,Tuvalu,325334.464
463,2020Q2,Oceania,Vanuatu,265893.719
464,2020Q2,Oceania,Wallis and Futuna,0.0
465,2020Q2,South America,Argentina,1722985.537
466,2020Q2,South America,Bolivia,626610.439
467,2020Q2,South America,Brazil,1283414.132
468,2020Q2,South America,Chile,2071800.367
469,2020Q2,South America,Colombia,1206200.359
470,2020Q2,South America,Ecuador,962956.176
471,2020Q2,South America,Falkland Islands,0.0
472,2020Q2,South America,French Guiana,0.0
473,2020Q2,South America,Guyana,676589.277
474,2020Q2,South America,Paraguay,803257.91
475,2020Q2,South America,Peru,1113540.246
476,2020Q2,South America,Suriname,1252807.8290000001
477,2020Q2,South America,Uruguay,1870178.219
478,2020Q2,South America,Venezuela,1523797.002
479,2020Q3,Africa,Algeria,1280073.188
480,2020Q3,Africa,Angola,535393.54
481,2020Q3,Africa,Benin,189909.712
482,2020Q3,Africa,Botswana,1454278.408
483,2020Q3,Africa,Burkina Faso,156685.38400000002
484,2020Q3,Africa,Burundi,64604.700000000004
485,2020Q3,Africa,Cameroon,309573.192
486,2020Q3,Africa,Cape Verde,572474.968
487,2020Q3,Africa,Central African Republic,60834.08
488,2020Q3,Africa,Chad,162670.076
489,2020Q3,Africa,Comoros,130077.88
490,2020Q3,Africa,Congo,449089.352
491,2020Q3,Africa,Cote d'Ivoire,331292.55199999997
492,2020Q3,Africa,Democratic Republic of Congo,74348.236
493,2020Q3,Africa,Djibouti,248897.35199999998
494,2020Q3,Africa,Egypt,970618.952
495,2020Q3,Africa,Equatorial Guinea,2079648.3159999999
496,2020Q3,Africa,Eritrea,138962.228
497,2020Q3,Africa,Eswatini,711985.7000000001
498,2020Q3,Africa,Ethiopia,159153.28399999999
499,2020Q3,Africa,Gabon,1523741.996
500,2020Q3,Africa,Gambia,143682.564
501,2020Q3,Africa,Ghana,388941.96
502,2020Q3,Africa,Guinea,183901.19199999998
503,2020Q3,Africa,Guinea-Bissau,142478.1
504,2020Q3,Africa,Kenya,275358.576
505,2020Q3,Africa,Lesotho,262306.076
506,2020Q3,Africa,Liberia,69256.496
507,2020Q3,Africa,Libya,1645098.8279999997
508,2020Q3,Africa,Madagascar,130312.48000000001
509,2020Q3,Africa,Malawi,100743.86399999999
510,2020Q3,Africa,Mali,185316.152
511,2020Q3,Africa,Mauritania,330982.236
512,2020Q3,Africa,Mauritius,1866932.5399999998
513,2020Q3,Africa,Mayotte,0.0
514,2020Q3,Africa,Morocco,688621.196
515,2020Q3,Africa,Mozambique,104521.47600000001
516,2020Q3,Africa,Namibia,877846.3360000001
517,2020Q3,Africa,Niger,85192.0
518,2020Q3,Africa,Nigeria,491137.768
519,2020Q3,Africa,Reunion,0.0
520,2020Q3,Africa,Rwanda,170587.412
521,2020Q3,Africa,Saint Helena,0.0
522,2020Q3,Africa,Sao Tome and Principe,280849.68799999997
