,date,continent,location,stringency_index
488,2020Q3,Africa,Chad,6227.47
489,2020Q3,Africa,Comoros,0.0
490,2020Q3,Africa,Congo,6024.2
491,2020Q3,Africa,Cote d'Ivoire,4042.14
492,2020Q3,Africa,Democratic Republic of Congo,5128.03
493,2020Q3,Africa,Djibouti,4815.13
494,2020Q3,Africa,Egypt,6824.320000000001
495,2020Q3,Africa,Equatorial Guinea,0.0
496,2020Q3,Africa,Eritrea,0.0
497,2020Q3,Africa,Eswatini,6744.42
498,2020Q3,Africa,Ethiopia,7355.92
499,2020Q3,Africa,Gabon,7207.56
500,2020Q3,Africa,Gambia,6324.0
501,2020Q3,Africa,Ghana,4744.3099999999995
502,2020Q3,Africa,Guinea,6572.63
503,2020Q3,Africa,Guinea-Bissau,0.0
504,2020Q3,Africa,Kenya,6852.75
505,2020Q3,Africa,Lesotho,6082.58
506,2020Q3,Africa,Liberia,5601.09
507,2020Q3,Africa,Libya,8177.55
508,2020Q3,Africa,Madagascar,5996.1900000000005
509,2020Q3,Africa,Malawi,5519.57
510,2020Q3,Africa,Mali,4048.27
511,2020Q3,Africa,Mauritania,3033.16
512,2020Q3,Africa,Mauritius,2044.2399999999998
513,2020Q3,Africa,Mayotte,0.0
514,2020Q3,Africa,Morocco,6453.87
515,2020Q3,Africa,Mozambique,6922.24
516,2020Q3,Africa,Namibia,5424.99
517,2020Q3,Africa,Niger,1865.7
518,2020Q3,Africa,Nigeria,6436.96
519,2020Q3,Africa,Reunion,0.0
520,2020Q3,Africa,Rwanda,6888.7300000000005
521,2020Q3,Africa,Saint Helena,0.0
522,2020Q3,Africa,Sao Tome and Principe,0.0
523,2020Q3,Africa,Senegal,4067.59
524,2020Q3,Africa,Seychelles,2179.75
525,2020Q3,Africa,Sierra Leone,3226.85
526,2020Q3,Africa,Somalia,2786.03
527,2020Q3,Africa,South Africa,6761.1
528,2020Q3,Africa,South Sudan,6897.36
529,2020Q3,Africa,Sudan,6339.429999999999
530,2020Q3,Africa,Tanzania,2462.85
531,2020Q3,Africa,Togo,4569.34
532,2020Q3,Africa,Tunisia,2349.84
533,2020Q3,Africa,Uganda,7782.64
534,2020Q3,Africa,Zambia,4364.04
535,2020Q3,Africa,Zimbabwe,7185.42
536,2020Q3,Asia,Afghanistan,5062.77
537,2020Q3,Asia,Armenia,0.0
538,2020Q3,Asia,Azerbaijan,8005.8099999999995
539,2020Q3,Asia,Bahrain,6094.38
540,2020Q3,Asia,Bangladesh,7285.030000000001
541,2020Q3,Asia,Bhutan,7317.5199999999995
542,2020Q3,Asia,Brunei,3806.33
543,2020Q3,Asia,Cambodia,4551.88
544,2020Q3,Asia,China,6653.66
545,2020Q3,Asia,Georgia,5285.22
546,2020Q3,Asia,Hong Kong,5653.92
547,2020Q3,Asia,India,7637.05
548,2020Q3,Asia,Indonesia,5795.32
549,2020Q3,Asia,Iran,5228.0599999999995
550,2020Q3,Asia,Iraq,7873.9400000000005
551,2020Q3,Asia,Israel,5019.42
552,2020Q3,Asia,Japan,2912.3399999999997
553,2020Q3,Asia,Jordan,5239.0199999999995
554,2020Q3,Asia,Kazakhstan,7354.74
555,2020Q3,Asia,Kuwait,7053.339999999999
556,2020Q3,Asia,Kyrgyzstan,7126.219999999999
557,2020Q3,Asia,Laos,2834.18
558,2020Q3,Asia,Lebanon,5870.33
559,2020Q3,Asia,Malaysia,5391.06
560,2020Q3,Asia,Maldives,0.0
561,2020Q3,Asia,Mongolia,5308.65
562,2020Q3,Asia,Myanmar,7224.48
563,2020Q3,Asia,Nepal,7611.889999999999
564,2020Q3,Asia,North Korea,0.0
565,2020Q3,Asia,Oman,8131.26
566,2020Q3,Asia,Pakistan,5040.07
567,2020Q3,Asia,Palestine,7677.58
568,2020Q3,Asia,Philippines,6744.4
569,2020Q3,Asia,Qatar,6841.72
570,2020Q3,Asia,Saudi Arabia,5948.509999999999
571,2020Q3,Asia,Singapore,5196.16
572,2020Q3,Asia,South Korea,4841.1
573,2020Q3,Asia,Sri Lanka,3723.09
574,2020Q3,Asia,Syria,5610.17
575,2020Q3,Asia,Taiwan,2129.7999999999997
576,2020Q3,Asia,Tajikistan,4456.36
577,2020Q3,Asia,Thailand,4655.6
578,2020Q3,Asia,Timor,2707.46
579,2020Q3,Asia,Turkey,5149.57
580,2020Q3,Asia,Turkmenistan,4149.84
581,2020Q3,Asia,United Arab Emirates,5185.11
582,2020Q3,Asia,Uzbekistan,5387.08
583,2020Q3,Asia,Vietnam,6504.14
584,2020Q3,Asia,Yemen,3134.18
585,2020Q3,Europe,Albania,5420.35
586,2020Q3,Europe,Andorra,3850.2400000000002
587,2020Q3,Europe,Austria,3499.88
588,2020Q3,Europe,Belarus,2896.16
589,2020Q3,Europe,Belgium,5088.01
590,2020Q3,Europe,Bosnia and Herzegovina,4778.66
591,2020Q3,Europe,Bulgaria,3632.62
592,2020Q3,Europe,Croatia,3387.18
593,2020Q3,Europe,Cyprus,4582.28
594,2020Q3,Europe,Czechia,3380.5
595,2020Q3,Europe,Denmark,4980.57
596,2020Q3,Europe,England,0.0
597,2020Q3,Europe,Estonia,3104.04
598,2020Q3,Europe,Faeroe Islands,3298.0699999999997
599,2020Q3,Europe,Finland,3148.4399999999996
600,2020Q3,Europe,France,4411.25
601,2020Q3,Europe,Germany,5071.24
602,2020Q3,Europe,Gibraltar,0.0
