,date,continent,location,total_cases_per_million
325,2020Q2,Asia,Oman,199747.611
326,2020Q2,Asia,Pakistan,23546.841
327,2020Q2,Asia,Palestine,10488.035
328,2020Q2,Asia,Philippines,11492.481
329,2020Q2,Asia,Qatar,1283849.288
330,2020Q2,Asia,Saudi Arabia,159211.021
331,2020Q2,Asia,Singapore,386912.98099999997
332,2020Q2,Asia,South Korea,19724.465
333,2020Q2,Asia,Sri Lanka,4463.651
334,2020Q2,Asia,Syria,374.229
335,2020Q2,Asia,Taiwan,0.0
336,2020Q2,Asia,Tajikistan,19893.72
337,2020Q2,Asia,Thailand,3693.179
338,2020Q2,Asia,Timor,1362.856
339,2020Q2,Asia,Turkey,139007.941
340,2020Q2,Asia,Turkmenistan,0.0
341,2020Q2,Asia,United Arab Emirates,224676.307
342,2020Q2,Asia,Uzbekistan,0.0
343,2020Q2,Asia,Vietnam,277.69
344,2020Q2,Asia,Yemen,778.604
345,2020Q2,Europe,Albania,31963.35
346,2020Q2,Europe,Andorra,849216.5819999999
347,2020Q2,Europe,Austria,126414.924
348,2020Q2,Europe,Belarus,273760.047
349,2020Q2,Europe,Belgium,392208.581
350,2020Q2,Europe,Bosnia and Herzegovina,60065.004
351,2020Q2,Europe,Bulgaria,27004.001
352,2020Q2,Europe,Croatia,46199.583
353,2020Q2,Europe,Cyprus,85566.297
354,2020Q2,Europe,Czechia,71778.806
355,2020Q2,Europe,Denmark,150969.72
356,2020Q2,Europe,England,0.0
357,2020Q2,Europe,Estonia,474437.12200000003
358,2020Q2,Europe,Faeroe Islands,318410.289
359,2020Q2,Europe,Finland,95920.673
360,2020Q2,Europe,France,6849.177
361,2020Q2,Europe,Germany,174749.095
362,2020Q2,Europe,Gibraltar,389081.004
363,2020Q2,Europe,Greece,23633.968
364,2020Q2,Europe,Guernsey,338470.549
365,2020Q2,Europe,Hungary,27780.126
366,2020Q2,Europe,Iceland,430602.59
367,2020Q2,Europe,Ireland,360957.403
368,2020Q2,Europe,Isle of Man,321409.13300000003
369,2020Q2,Europe,Italy,318920.225
370,2020Q2,Europe,Jersey,216280.363
371,2020Q2,Europe,Kosovo,51995.524
372,2020Q2,Europe,Latvia,44029.838
373,2020Q2,Europe,Liechtenstein,190090.221
374,2020Q2,Europe,Lithuania,45224.505
375,2020Q2,Europe,Luxembourg,411393.752
376,2020Q2,Europe,Malta,86858.447
377,2020Q2,Europe,Moldova,183676.532
378,2020Q2,Europe,Monaco,138308.079
379,2020Q2,Europe,Montenegro,861.131
380,2020Q2,Europe,Netherlands,204420.34
381,2020Q2,Europe,North Macedonia,95986.06999999999
382,2020Q2,Europe,Northern Ireland,0.0
383,2020Q2,Europe,Norway,131557.67
384,2020Q2,Europe,Poland,41715.731
385,2020Q2,Europe,Portugal,234333.412
386,2020Q2,Europe,Romania,70496.258
387,2020Q2,Europe,Russia,176209.442
388,2020Q2,Europe,San Marino,1572781.244
389,2020Q2,Europe,Scotland,0.0
390,2020Q2,Europe,Serbia,122060.866
391,2020Q2,Europe,Slovakia,21467.176
392,2020Q2,Europe,Slovenia,59086.451
393,2020Q2,Europe,Spain,424110.44399999996
394,2020Q2,Europe,Sweden,272766.883
395,2020Q2,Europe,Switzerland,304768.812
396,2020Q2,Europe,Ukraine,36471.19
397,2020Q2,Europe,United Kingdom,265651.294
398,2020Q2,Europe,Vatican,1198019.791
399,2020Q2,Europe,Wales,0.0
400,2020Q2,North America,Anguilla,17005.768
401,2020Q2,North America,Antigua and Barbuda,23738.422
402,2020Q2,North America,Aruba,82022.186
403,2020Q2,North America,Bahamas,18200.478
404,2020Q2,North America,Barbados,26689.531
405,2020Q2,North America,Belize,3868.875
406,2020Q2,North America,Bermuda,157786.526
407,2020Q2,North America,Bonaire Sint Eustatius and Saba,18963.48
408,2020Q2,North America,British Virgin Islands,18543.353
409,2020Q2,North America,Canada,156461.892
410,2020Q2,North America,Cayman Islands,145310.09
411,2020Q2,North America,Costa Rica,18690.227
412,2020Q2,North America,Cuba,13169.763
413,2020Q2,North America,Curacao,8280.464
414,2020Q2,North America,Dominica,20025.275
415,2020Q2,North America,Dominican Republic,105266.081
416,2020Q2,North America,El Salvador,25718.101
417,2020Q2,North America,Greenland,18851.565000000002
418,2020Q2,North America,Grenada,14004.583
419,2020Q2,North America,Guadeloupe,35799.291
420,2020Q2,North America,Guatemala,20685.82
421,2020Q2,North America,Haiti,12059.384
422,2020Q2,North America,Honduras,36469.776
423,2020Q2,North America,Jamaica,13764.326000000001
424,2020Q2,North America,Martinique,46273.326
