,date,continent,location,total_deaths_per_million
435,2020Q2,North America,Saint Vincent and the Grenadines,0.0
436,2020Q2,North America,Sint Maarten (Dutch part),25954.926
437,2020Q2,North America,Trinidad and Tobago,464.373
438,2020Q2,North America,Turks and Caicos Islands,1880.734
439,2020Q2,North America,United States,21070.005
440,2020Q2,North America,United States Virgin Islands,3960.612
441,2020Q2,Oceania,American Samoa,0.0
442,2020Q2,Oceania,Australia,317.626
443,2020Q2,Oceania,Cook Islands,0.0
444,2020Q2,Oceania,Fiji,0.0
445,2020Q2,Oceania,French Polynesia,0.0
446,2020Q2,Oceania,Guam,2555.51
447,2020Q2,Oceania,Kiribati,0.0
448,2020Q2,Oceania,Marshall Islands,0.0
449,2020Q2,Oceania,Micronesia (country),0.0
450,2020Q2,Oceania,Nauru,0.0
451,2020Q2,Oceania,New Caledonia,0.0
452,2020Q2,Oceania,New Zealand,304.13800000000003
453,2020Q2,Oceania,Niue,0.0
454,2020Q2,Oceania,Northern Mariana Islands,3489.7560000000003
455,2020Q2,Oceania,Palau,0.0
456,2020Q2,Oceania,Papua New Guinea,0.0
457,2020Q2,Oceania,Pitcairn,0.0
458,2020Q2,Oceania,Samoa,0.0
459,2020Q2,Oceania,Solomon Islands,0.0
460,2020Q2,Oceania,Tokelau,0.0
461,2020Q2,Oceania,Tonga,0.0
462,2020Q2,Oceania,Tuvalu,0.0
463,2020Q2,Oceania,Vanuatu,0.0
464,2020Q2,Oceania,Wallis and Futuna,0.0
465,2020Q2,South America,Argentina,2291.567
466,2020Q2,South America,Bolivia,1989.913
467,2020Q2,South America,Brazil,8406.055
468,2020Q2,South America,Chile,5886.733
469,2020Q2,South America,Colombia,1403.881
470,2020Q2,South America,Ecuador,11311.479
471,2020Q2,South America,Falkland Islands,0.0
472,2020Q2,South America,French Guiana,600.838
473,2020Q2,South America,Guyana,1042.379
474,2020Q2,South America,Paraguay,130.65200000000002
475,2020Q2,South America,Peru,36985.585
476,2020Q2,South America,Suriname,333.308
477,2020Q2,South America,Uruguay,456.06
478,2020Q2,South America,Venezuela,47.939
479,2020Q3,Africa,Algeria,2729.111
480,2020Q3,Africa,Angola,214.363
481,2020Q3,Africa,Benin,245.658
482,2020Q3,Africa,Botswana,174.493
483,2020Q3,Africa,Burkina Faso,220.99200000000002
484,2020Q3,Africa,Burundi,7.176
485,2020Q3,Africa,Cameroon,1298.214
486,2020Q3,Africa,Cape Verde,5143.619
487,2020Q3,Africa,Central African Republic,971.1289999999999
488,2020Q3,Africa,Chad,409.747
