location,date,stringency_index,adjusted_new_cases,adjusted_new_deaths,adjusted_new_cases_per_million,adjusted_new_deaths_per_million,adjusted_total_cases,adjusted_total_deaths
Angola,2021-12-31,71.51,11631.943041636,23.951394308,326.841,0.673,75358.89115979079,1703.3427320540002
Angola,2022-01-31,68.4,21288.98151724,137.871770504,598.19,3.874,96647.87267703078,1841.2145025580003
Angola,2022-02-28,64.32,624.94276976,3.985967552,17.56,0.112,97272.81544679079,1845.2004701100002
Angola,2022-03-31,42.41,358.33777114488,0.6975443216,10.06878,0.0196,97631.15321793567,1845.8980144316001
Angola,2022-04-30,42.3,151.66393001384,0.0,4.26154,0.0,97782.8171479495,1845.8980144316001
Angola,2022-05-31,43.25,515.969264008,0.0,14.498,0.0,98298.78641195751,1845.8980144316001
Angola,2022-06-30,28.33,1214.42039322608,0.0,34.12348,0.0,99513.2068051836,1845.8980144316001
Angola,2022-07-31,28.27,947.10432647088,11.185621442799999,26.612280000000002,0.31429999999999997,100460.31113165448,1857.0836358744002
Angola,2022-08-31,28.21,505.97445037136004,0.6975443216,14.217160000000002,0.0196,100966.28558202584,1857.7811801960002
Angola,2022-09-30,22.65,113.17158372016,0.0,3.1799600000000003,0.0,101079.457165746,1857.7811801960002
Angola,2022-10-31,22.65,588.7665553260001,0.6975443216,16.5435,0.0196,101668.223721072,1858.4787245176
Angola,2022-11-30,17.1,657.66756336192,4.8828102512,18.47952,0.1372,102325.89128443392,1863.3615347688
Angola,2022-12-31,17.02,282.95814227712,3.487721608,7.9507200000000005,0.098,102608.84942671104,1866.8492563768
Anguilla,2020-01-31,,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,2020-02-29,,0.0,0.0,0.0,0.0,0.0,0.0
Anguilla,2020-03-31,,1.999993936,0.0,125.968,0.0,1.999993936,0.0
Anguilla,2020-04-30,,0.999996968,0.0,62.984,0.0,2.999990904,0.0
